Gene	Length	YM9A	YC0A	YC1A	YC2A	YC3A	YC4A	YH1A	YH2A	YH3A	YH4A	RC1A	RC2A	RC3A	RC4A	RH1A	RH2A	RH3A	RH4A	YM9B	YC0B	YC1B	YC2B	YC3B	YC4B	YH1B	YH2B	YH3B	YH4B	RC1B	RC2B	RC3B	RC4B	RH1B	RH2B	RH3B	RH4B
CNAG_00019	454	168.883	63.328	59.126	117.197	109.986	113.995	83.1	91.361	111.166	103.778	45.327	103.338	96.526	89.22	14.104	47.934	19.706	21.247	101.445	13.214	35.479	82.985	97.059	78.28	52.826	83.046	105.894	72.867	20.981	83.947	100.277	88.933	36.65	50.98	53.323	34.299
CNAG_00020	3245	72.303	79.16	55.779	85.172	81.052	55.457	56.301	63.532	86.668	128.527	44.823	135.92	88.913	113.909	37.748	141.088	98.528	150.502	82.34	50.398	48.419	51.037	70.577	51.421	40.592	54.951	68.676	96.289	28.611	112.138	84.433	67.523	41.026	98.753	61.56	121.81
CNAG_00021	1890	173.633	20.78	66.935	175.455	189.061	167.019	118.003	184.821	140.979	113.481	112.813	93.465	110.393	76.961	51.022	68.509	46.104	48.566	202.045	8.604	72.767	170.255	193.476	143.202	126.967	199.146	119.186	114.505	67.394	126.547	72.967	42.82	148.241	54.506	33.381	48.083
CNAG_00022	1102	35.888	0	22.312	52.807	71.347	60.484	59.832	91.886	67.485	79.169	29.211	34.227	25.559	18.9	5.393	21.932	11.526	15.683	63.403	3.38	32.557	47.336	60.293	59.464	70.249	86.765	71.334	78.722	35.604	38.215	26.894	33.762	47.043	21.803	12.139	33.979
CNAG_00023	1584	1.583	12.864	0	18.738	9.345	2.432	3.116	4.2	8.32	7.593	13.598	40.809	144.653	358.584	3.733	21.028	18.962	62.983	11.835	9.219	3.061	2.727	0.257	3.878	2.966	2.892	0	7.157	1.272	60.141	72.967	184.454	8.752	4.809	12.139	18.271
CNAG_00024	3804	2542.745	1306.143	1657.764	2856.682	2483.669	2600.796	2101.818	1660.766	1744.906	1670.569	1449.447	1747.21	1597.979	1402.327	718.871	1196.988	959.253	801.331	2910.799	558.675	1375.897	2501.422	2252.935	2174.463	1948.433	1781.983	1554.293	1552.328	1284.934	2014.105	1199.159	1000.224	1396.531	1164.193	1289.292	754.26
CNAG_00025	2721	59.637	149.415	136.102	90.283	128.317	197.18	153.736	140.191	186.509	148.636	140.513	120.452	63.626	68.448	90.014	36.403	24.911	20.994	59.684	41.178	77.219	118.828	174.964	213.583	119.924	108.249	139.124	180.866	93.461	148.474	63.168	47.486	79.864	57.392	103.178	50.968
CNAG_00026	1672	342.516	70.255	86.458	178.862	204.516	196.531	142.517	249.404	211.238	167.76	85.617	74.377	146.284	139.79	26.133	78.232	26.026	30.1	395.467	18.745	62.749	155.645	184.606	158.571	129.747	267.731	203.37	162.65	52.135	122.788	95.274	107.049	45.402	67.011	66.762	95.204
CNAG_00027	3238	26.916	30.675	8.367	34.41	23.902	22.702	14.335	29.403	39.752	39.796	12.591	37.189	47.311	29.456	30.281	49.517	31.975	27.824	27.39	42.1	18.366	23.96	10.156	23.269	17.609	30.161	30.572	22.771	10.173	36.962	21.473	47.76	37.197	59.316	27.312	84.626
CNAG_00028	1931	61.22	8.906	28.448	41.905	48.523	36.485	61.91	51.981	80.196	60.467	29.211	45.087	32.357	34.394	16.593	57.656	23.795	29.342	43.452	21.818	17.809	22.597	43.709	35.19	38.183	68.172	68.676	50.747	0.636	32.577	33.982	36.232	31.727	55.148	55.491	76.933
CNAG_00029	1294	0	5.937	0	11.583	8.626	6.973	4.571	17.852	9.013	13.078	4.533	2.304	4.079	7.151	2.904	7.914	0	10.624	2.705	0.922	4.174	7.987	8.999	2.585	4.448	24.377	10.634	0	3.179	5.012	11.675	1.647	4.376	8.978	0	10.899
CNAG_00030	1086	12.138	0	4.462	10.221	6.649	7.621	1.039	34.129	5.778	9.703	2.518	0	0.816	4.597	0	2.261	1.859	0.253	7.27	0	0.974	13.441	5.142	5.171	2.039	21.071	6.203	31.229	3.179	0	2.293	6.313	0	3.206	3.468	6.732
CNAG_00031	2629	31.666	65.307	7.251	11.243	41.874	36.647	18.282	12.601	30.276	52.592	10.576	29.619	27.462	35.245	8.296	36.855	15.988	31.365	35.337	19.36	12.661	19.285	52.708	34.185	16.867	43.796	37.661	63.108	5.722	19.421	43.155	51.329	20.787	30.78	22.543	70.522
CNAG_00032	2175	0.528	0	0	6.473	0.18	3.081	2.909	0	5.316	4.219	0	0.658	1.903	1.532	2.489	5.653	1.487	13.153	0	1.844	0.417	1.558	3.857	0.144	1.854	0.413	3.101	0	0	0	2.293	0	0.547	2.565	1.734	5.129
CNAG_00034	736	1908.378	222.638	246.545	596.207	1505.118	1851.156	344.244	749.261	1168.509	1504.777	222.101	386.038	630.273	810.135	107.437	327.171	311.571	171.244	1390.644	98.644	195.762	518.362	1179.882	1517.054	277.103	662.718	1006.658	1217.92	279.112	467.974	791.378	754.01	191.455	412.005	424.851	267.02
CNAG_00035	3395	31.138	38.591	6.136	25.211	16.354	22.215	1.039	55.131	39.983	26.437	10.073	17.442	21.48	24.859	0.415	31.428	11.898	24.283	7.947	21.204	8.209	14.22	17.869	14.938	2.966	19.006	18.609	25.373	17.166	14.409	18.971	15.646	0	17.314	8.67	32.055
CNAG_00036	1136	0	9.895	46.855	14.65	4.493	3.73	22.437	10.501	18.258	5.203	56.407	35.543	14.955	19.24	13.274	16.732	8.551	17.706	1.014	73.752	69.845	10.324	5.014	8.618	34.846	26.856	7.532	5.855	69.301	23.179	13.343	27.997	14.222	35.91	51.156	40.71
CNAG_00038	1293	7.916	10.885	74.187	33.388	6.11	1.459	60.248	56.707	48.072	22.077	21.656	19.088	22.84	20.602	2.489	29.619	14.872	10.371	4.903	7.375	25.74	30.778	2.828	4.596	44.485	46.688	18.166	8.458	20.981	4.385	13.551	11.254	24.069	27.253	39.45	30.452
CNAG_00039	3411	71.775	110.824	342.486	363.175	188.881	115.454	288.566	208.449	138.668	121.496	232.173	136.249	126.435	119.017	56.829	87.276	84.028	66.272	63.741	19.36	271.729	291.81	123.028	75.264	248.373	171.877	86.842	50.096	227.613	109.632	82.765	68.621	124.173	71.179	78.467	123.092
CNAG_00040	2011	251.213	123.688	158.971	307.983	398.07	457.276	178.874	234.177	281.727	221.196	120.871	179.032	218.883	202.619	12.444	113.956	112.285	74.113	297.403	118.619	202.44	238.24	479.255	437.938	189.616	309.874	267.615	278.456	134.152	233.047	320.22	274.485	147.147	256.501	187.281	216.693
CNAG_00043	2926	36.415	14.843	69.724	42.586	32.529	40.052	67.727	48.306	52.463	47.53	34.247	77.668	72.87	78.834	59.733	57.43	42.757	38.448	42.607	38.413	73.045	30.194	28.154	32.317	64.874	39.664	26.584	98.891	66.758	40.721	77.345	70.543	79.864	69.255	64.161	60.264
CNAG_00044	3540	69.136	32.654	187.977	60.302	45.468	49.619	203.388	86.11	95.681	97.731	171.738	75.036	85.65	83.602	116.148	89.084	70.643	73.101	74.731	96.185	117.986	65.063	58.75	64.635	136.049	60.322	111.211	94.987	82.017	75.177	106.949	101.285	123.625	103.242	99.71	94.242
CNAG_00045	1447	30.61	12.864	3.347	13.968	4.852	4.054	25.346	9.976	7.858	13.781	7.554	15.797	14.683	15.494	14.104	28.489	15.616	13.659	5.579	11.677	5.983	3.117	1.671	4.884	14.643	4.958	10.634	13.012	0	11.276	11.883	20.312	16.41	24.688	28.612	32.376
CNAG_00046	1250	79.692	49.475	32.91	38.839	30.192	49.457	32.409	67.733	47.84	73.263	22.663	50.024	67.704	59.424	13.689	61.726	20.821	38.448	99.585	14.443	42.714	29.025	21.212	45.101	43.929	58.256	66.018	77.421	32.425	56.382	42.321	55.446	35.556	66.69	87.571	66.995
CNAG_00047	1740	7.389	835.14	97.614	42.927	13.658	13.297	59.209	26.778	7.627	9.14	93.172	55.948	35.891	10.386	27.792	23.741	19.706	24.03	15.048	106.326	60.802	14.61	2.828	5.171	12.419	8.263	1.772	7.157	42.598	16.915	13.134	3.294	8.752	16.352	0	5.77
CNAG_00048	2119	2.639	5.937	0	4.088	3.774	4.054	1.039	8.926	12.942	7.172	5.036	0	4.622	2.384	2.074	14.697	0	1.265	3.551	0	0.696	1.558	0.643	4.884	2.595	7.85	7.975	10.41	0	0	5.212	0.823	2.735	6.413	5.636	10.578
CNAG_00049	1695	0	10.885	5.578	3.407	3.415	5.189	2.285	5.251	7.165	13.64	0	0	2.719	5.619	4.978	9.722	4.833	7.588	8.792	2.458	0.974	3.701	3.471	4.309	0.927	8.263	2.658	1.301	0	0	8.339	6.862	0	11.863	5.202	12.822
CNAG_00050	1193	3.694	22.759	30.679	19.76	28.036	28.539	54.639	34.654	27.271	30.233	9.569	21.063	33.716	23.327	5.807	9.949	13.757	23.018	9.468	7.068	21.009	34.674	22.24	22.407	25.393	16.527	25.698	22.12	24.796	11.276	12.926	28.546	6.017	13.466	13.439	23.08
CNAG_00051	6355	242.769	230.554	174.032	384.638	322.769	310.526	270.492	292.459	269.016	333.129	174.256	272.827	175.106	226.797	135.644	202.136	176.607	198.056	285.061	111.243	210.093	340.51	270.609	253.225	313.618	265.252	346.482	383.853	146.868	254.974	167.198	205.315	201.849	249.768	295.228	282.086
CNAG_00052	583	0	58.381	119.926	0	1.977	1.135	23.06	6.826	5.084	4.219	78.063	47.72	4.35	2.043	20.326	8.14	5.949	4.806	4.734	88.81	105.742	1.169	0	0	50.231	2.066	5.317	5.855	130.973	25.685	1.042	0	79.317	21.803	63.728	8.975
CNAG_00053	801	3.167	2.969	11.714	0.341	11.861	23.026	3.947	10.501	1.618	9.843	2.518	2.304	2.175	3.405	0	0	0	4.3	7.101	14.136	4.591	8.182	7.199	31.743	2.41	0.826	1.772	28.626	0	0	3.127	21.135	0	0	2.168	11.219
CNAG_00054	970	2.639	47.496	47.97	6.132	2.157	0	11.842	4.2	8.551	0.281	38.276	9.215	2.175	7.832	13.689	6.557	4.462	20.742	0.338	83.893	47.584	0	1.286	0	14.458	5.371	0	9.108	45.141	10.65	2.502	0	13.128	12.825	8.67	5.449
CNAG_00055	1316	67.025	22.759	22.312	23.167	30.372	45.728	106.784	45.155	52.463	62.857	21.152	33.239	31.269	42.397	57.659	100.39	48.334	45.53	105.503	39.335	21.427	19.48	34.324	44.095	113.251	60.322	79.753	95.638	31.79	25.685	28.144	34.311	167.934	106.768	55.924	80.459
CNAG_00056	2250	16.361	2.969	16.734	45.652	25.34	34.215	10.595	32.554	41.832	45.842	31.225	25.999	21.209	29.797	11.615	33.237	21.193	17.2	37.197	15.058	11.131	20.844	25.454	42.515	22.057	31.401	52.725	40.337	13.987	17.541	22.516	22.233	23.522	27.894	38.15	48.083
CNAG_00057	1336	15.833	569.953	580.106	42.586	8.986	4.054	455.806	116.038	75.805	52.311	592.269	202.728	57.644	59.083	155.97	100.616	49.45	36.171	31.786	718.779	778.177	61.362	6.556	6.176	644.658	143.368	172.355	109.951	888.2	223.024	89.437	46.388	492.314	191.414	272.685	94.563
CNAG_00058	1762	253.852	91.034	102.076	175.455	184.748	180.964	111.978	297.184	245.211	271.538	43.312	80.301	97.07	105.566	42.726	97.903	64.694	57.166	239.749	42.408	104.629	183.306	212.631	213.583	135.122	278.887	313.251	294.07	52.771	101.488	113.203	99.364	80.958	127.93	105.779	137.517
CNAG_00059	917	18.472	18.801	20.081	21.123	28.215	35.674	35.733	43.58	22.649	24.468	9.065	22.708	15.227	10.557	9.126	18.314	6.692	11.383	21.642	3.995	15.166	30.389	27.639	26.859	35.588	27.682	30.129	13.012	10.173	27.565	18.971	10.156	6.564	18.276	5.202	8.975
CNAG_00060	1415	26.388	47.496	96.498	84.491	45.109	28.701	84.139	68.258	46.685	27.28	75.544	46.404	32.357	24.519	50.607	29.167	17.475	17.706	23.84	25.813	64.141	75.193	43.066	24.992	82.482	66.933	46.966	20.819	114.442	40.094	25.017	23.331	64.001	23.726	36.849	27.888
CNAG_00061	1689	445.957	741.137	454.044	409.509	169.831	257.988	464.532	510.884	361.692	607.901	465.858	453.505	386.104	272.94	201.599	398.167	156.529	174.279	400.539	212.346	411.698	299.991	133.441	263.567	363.292	389.615	389.459	498.358	323.618	334.536	379.219	312.638	294.841	413.928	350.719	324.078
CNAG_00062	1807	116.107	53.433	78.091	52.466	66.674	86.428	59.417	92.411	83.663	128.808	32.232	110.25	71.239	96.372	34.844	93.154	63.207	71.584	121.734	29.194	54.262	81.426	71.477	86.324	56.347	75.196	107.223	105.397	15.895	74.55	71.716	82.071	16.41	58.675	97.542	83.985
CNAG_00063	1067	42.221	0	2.789	18.738	15.815	34.215	11.011	7.351	12.711	20.109	4.533	14.151	4.35	17.027	6.637	10.401	3.718	2.529	29.926	5.531	2.087	13.052	23.14	45.101	6.858	7.437	11.963	28.626	0.636	26.312	26.06	21.959	0	3.848	1.734	20.836
CNAG_00064	835	33.777	30.675	13.387	29.64	28.215	61.781	37.603	46.73	83.894	103.497	29.211	22.05	21.752	27.413	9.126	27.132	28.257	30.606	46.834	12.907	12.244	22.986	36.124	35.621	28.359	28.095	31.901	96.939	7.629	23.179	30.855	32.938	26.804	25.009	48.554	46.48
CNAG_00065	950	385.792	54.423	84.785	142.408	217.995	261.231	135.869	301.385	310.154	315.411	102.237	98.402	135.952	188.997	72.177	135.662	78.451	99.155	341.87	45.173	93.916	139.866	193.476	243.027	99.349	208.649	327.43	305.781	71.209	100.235	134.468	186.65	89.164	132.739	179.478	180.15
CNAG_00066	4573	82.33	206.806	246.545	195.556	203.977	144.48	213.153	187.972	173.566	159.182	199.437	227.41	228.127	222.54	113.659	218.867	113.772	195.78	137.796	150.271	276.042	267.849	157.738	168.913	242.998	168.572	187.862	121.662	370.666	226.156	204.724	163.319	233.576	253.615	226.732	322.155
CNAG_00067	512	72.831	58.381	37.93	69.16	33.068	71.834	34.279	85.06	84.819	121.777	37.772	52.327	79.668	45.802	12.444	44.09	43.129	28.33	96.204	25.199	25.601	44.22	66.463	78.998	31.139	85.938	75.322	153.541	20.981	50.118	96.316	108.147	16.41	74.385	91.473	77.253
CNAG_00068	2804	116.107	85.097	406.632	389.749	271.55	129.724	450.82	359.141	217.247	122.48	179.292	178.703	246.073	177.249	36.089	104.007	52.052	58.683	78.451	32.267	395.141	444.922	261.996	102.41	454.671	339.622	137.795	113.204	277.205	145.341	225.989	199.002	116.514	122.8	120.519	126.618
CNAG_00069	1689	0	0	0	3.407	1.797	0	1.87	6.301	3.004	0	0	1.316	3.535	0	2.904	2.713	0	0.506	1.522	0	0.696	1.753	2.314	1.149	2.41	0	0	0	0	0	0	0	0	0	0	1.603
CNAG_00070	2969	48.554	105.877	294.515	293.334	157.97	85.131	172.433	170.12	97.761	119.105	677.886	624.638	1168.915	1133.133	150.992	298.456	545.807	319.217	55.119	82.357	467.491	307.199	122.771	42.228	168.671	147.913	90.387	52.698	1127.258	1006.739	1123.273	1001.87	309.064	342.429	631.641	443.965
CNAG_00072	1399	77.053	71.244	108.212	66.094	50.86	65.997	82.269	98.186	104.463	161.573	91.661	53.315	57.916	82.069	27.378	78.232	47.963	38.954	61.882	55.314	84.454	61.362	47.308	81.009	117.329	81.807	109.439	162.65	68.665	60.141	94.44	127.91	67.83	119.914	171.674	146.172
CNAG_00073	3097	176.272	121.709	116.021	140.364	107.829	135.561	175.342	196.898	242.438	199.4	147.564	210.297	163.686	195.978	105.362	186.083	105.22	118.125	194.437	87.581	113.812	108.114	122.128	134.01	157.921	214.433	141.34	194.529	165.306	209.868	168.866	162.77	243.422	178.268	242.772	208.359
CNAG_00074	1870	93.413	86.087	210.288	107.999	46.906	143.507	211.283	82.434	173.566	179.853	221.094	77.01	168.037	201.938	72.177	131.14	139.054	84.231	71.012	187.454	225.954	85.907	90.503	257.391	261.719	162.374	133.364	256.986	197.731	134.691	202.223	253.899	176.139	225.721	521.526	332.733
CNAG_00075	634	8.444	11.874	65.262	13.968	1.258	6.162	25.346	16.802	9.476	10.406	55.903	6.911	2.991	8.684	16.593	4.07	6.321	7.082	3.382	26.428	44.94	12.078	1.8	7.325	33.549	9.09	25.698	16.265	54.042	1.253	6.463	16.744	19.146	28.215	20.376	9.617
CNAG_00076	1895	35.888	16.822	52.99	36.794	43.132	40.052	26.8	35.704	41.6	30.515	32.232	28.632	32.357	61.637	7.467	22.61	18.218	7.841	27.221	19.053	37.844	59.609	59.264	37.488	41.89	21.071	49.624	44.241	17.166	36.335	44.197	49.407	14.222	42.964	45.953	25.003
CNAG_00077	2854	148.3	96.971	270.53	394.178	278.02	234.313	250.548	406.922	232.5	199.4	347.001	581.855	842.63	1089.545	84.622	533.15	360.277	434.307	165.863	47.017	263.659	376.548	237.313	282.239	285.629	476.38	246.348	292.769	362.401	659.674	766.361	993.636	287.183	667.223	900.857	692.393
CNAG_00078	3976	126.662	71.244	30.679	42.927	87.881	102.806	29.916	45.155	52.925	99.137	27.7	104.326	64.985	75.94	19.911	54.491	27.513	47.301	83.016	23.355	24.07	53.57	94.103	106.576	26.32	36.772	35.003	135.975	31.154	127.174	119.04	97.991	18.052	72.141	49.421	83.985
CNAG_00079	1383	11.083	177.121	61.357	15.331	2.157	14.27	61.702	3.675	5.084	4.781	35.254	96.756	17.946	21.624	19.081	94.285	20.449	32.883	3.382	68.221	100.455	4.091	5.914	6.176	88.228	16.94	6.203	20.819	33.697	77.682	26.685	25.802	7.658	71.179	16.907	73.086
CNAG_00080	1978	3.167	7.916	0.558	8.177	1.617	5.675	1.662	3.675	5.547	4.5	12.087	8.886	4.35	12.77	1.659	3.844	4.833	0.506	4.565	0.922	7.096	5.844	2.957	1.58	7.785	2.892	2.215	4.554	12.08	5.012	10.007	7.411	2.188	3.206	4.335	3.206
CNAG_00081	2951	101.33	94.003	176.263	203.392	100.641	95.833	241.407	204.249	161.086	152.573	154.111	179.69	109.305	95.18	110.755	126.391	64.694	80.184	166.032	46.71	118.403	123.503	64.663	75.982	182.944	148.326	132.478	114.505	68.03	119.656	79.43	77.13	142.224	117.349	92.774	134.953
CNAG_00082	1165	26.388	47.496	14.503	29.64	17.972	27.08	27.631	32.554	32.818	41.483	35.758	33.239	39.97	31.159	14.518	24.645	8.18	23.777	27.559	8.912	15.026	24.74	18.383	29.445	26.876	24.79	18.166	40.988	3.815	30.071	21.056	20.037	12.581	18.276	8.67	13.143
CNAG_00083	3133	91.302	39.58	16.176	70.523	58.228	80.753	68.973	98.186	104.232	109.121	22.663	64.504	47.855	64.361	44.385	71.675	53.911	31.618	93.499	13.829	30.61	70.712	66.72	82.445	45.782	76.022	91.273	109.301	17.166	83.321	57.957	74.934	91.352	94.264	66.762	52.891
CNAG_00084	2737	259.13	137.541	182.957	444.259	326.364	278.744	364.603	435.8	258.154	256.913	80.581	154.679	113.112	81.899	41.481	104.912	42.757	58.683	268.491	22.74	167.1	374.405	242.713	252.651	246.89	372.675	329.645	176.312	132.245	137.197	99.86	138.34	134.566	117.349	61.56	54.814
CNAG_00085	783	41.693	0	5.02	17.034	23.183	18.81	11.634	21.002	22.418	34.733	13.094	15.468	10.876	13.962	0	8.818	0	6.83	28.066	1.229	4.035	11.883	28.925	18.529	22.798	24.377	26.141	29.928	4.451	19.421	21.89	21.684	8.752	7.374	18.641	17.951
CNAG_00086	2219	139.328	10.885	84.785	164.553	205.774	163.938	162.669	161.194	133.584	111.652	98.208	73.061	55.196	59.253	29.037	53.812	29.001	22.006	127.652	12.907	48.558	146.294	139.226	125.823	101.388	158.656	133.364	113.855	87.103	67.659	63.168	48.858	54.702	50.659	27.312	18.592
CNAG_00087	2316	35.888	76.192	29.005	39.861	14.018	37.458	38.642	42.53	41.6	45.139	55.399	48.378	40.514	53.634	23.644	40.472	20.077	38.701	35.337	21.818	28.383	26.882	27.125	37.345	21.872	20.658	37.218	34.482	20.345	57.009	50.034	48.584	37.197	55.468	61.994	74.689
CNAG_00088	1001	111.357	156.341	126.061	68.819	61.822	68.591	85.178	66.158	99.379	81.841	54.392	100.047	57.644	66.575	12.859	54.265	17.847	16.947	74.224	34.111	77.359	78.309	69.42	67.22	99.349	97.507	40.763	78.072	74.388	77.056	58.374	50.78	32.821	77.271	36.849	51.609
CNAG_00089	1204	40.637	6.927	45.739	55.192	49.781	50.106	42.381	35.704	69.103	47.248	37.772	27.974	36.435	17.027	9.541	19.219	13.757	6.83	51.906	11.37	39.792	55.518	66.72	41.654	60.796	48.754	37.661	66.361	26.067	18.168	16.887	27.997	41.026	10.26	6.503	31.735
CNAG_00090	1695	21.11	81.139	27.332	36.113	25.879	33.08	33.863	78.759	37.903	38.671	15.109	57.922	29.638	13.621	20.326	27.811	4.09	17.959	33.308	11.37	23.792	38.57	21.212	39.212	53.752	41.317	33.23	63.108	13.987	22.553	21.473	22.508	37.744	29.818	17.774	29.811
CNAG_00091	1834	53.304	278.05	1712.986	41.223	4.133	16.215	996.998	47.78	21.725	25.03	1793.93	453.175	52.477	20.092	564.56	179.526	100.015	40.977	40.916	2099.794	907.015	14.415	0.514	0	503.234	39.664	42.978	51.397	1473.764	333.283	64.836	10.156	1421.146	556.607	1534.232	194.255
CNAG_00092	725	70.192	43.538	61.915	61.324	60.744	57.727	49.445	49.881	62.17	54.279	39.787	45.745	45.68	42.737	12.03	37.307	18.59	12.9	57.147	33.803	36.314	35.259	57.85	44.814	43.929	41.73	30.572	28.626	15.259	26.938	51.911	51.878	21.334	42.323	37.283	27.888
CNAG_00093	2460	11.083	269.145	481.376	23.848	10.064	6.648	220.839	52.506	28.427	32.624	498.09	143.818	32.085	30.989	323.969	46.125	54.283	50.083	19.951	702.799	446.064	14.415	2.571	7.038	220.014	37.598	86.842	61.807	528.342	61.394	8.339	11.254	333.132	73.423	205.489	34.94
CNAG_00094	1351	13.194	75.202	36.257	11.583	0.359	4.216	54.431	3.675	6.24	1.828	30.218	10.531	8.701	1.532	3.319	2.939	1.859	3.794	4.565	15.672	37.566	10.714	2.571	1.58	24.467	5.371	10.634	0	24.16	16.915	3.961	3.019	6.564	0	0	0
